job_id,posting_fingerprint,duplicate_group_size,is_senior,salary_segment,search_keyword,country,job_level,degree_required,experience_tier,num_skills,experience_required_clean,is_remote,experience_missing,skills_extracted,skill_python,skill_sql,skill_spark,skill_aws
5710345523,b482d2b219aae2317853d227e61d167fc16bab10,1,False,Standard,data scientist,India,Mid,Not specified,6-10 years,0,8.0,False,False,False,False,False,False,False
5676535670,84c1f6adcd85273e43cb95139d2832995d2eefec,1,False,Standard,data scientist,India,Mid,Not specified,Missing,0,,False,True,False,False,False,False,False
5705677339,0193dffe0f485c84d4275ddac26af83157463031,1,False,Standard,data scientist,India,Mid,Not specified,Missing,1,,False,True,True,False,False,False,False
5689758521,fe6686c219cbb9ec40f05f412c6fc6433a60dc2e,1,False,Standard,data scientist,India,Mid,Not specified,6-10 years,0,10.0,False,False,False,False,False,False,False
5709942304,55e33bacd135bcecbf6bef6fb3df1b6b928ef0f6,1,False,Standard,data scientist,India,Mid,Not specified,3-5 years,1,4.0,False,False,True,False,False,False,False
5694092160,b855b1a7fc51cb8a9fa00a1178151436edf049a6,1,False,Standard,data scientist,India,Mid,Not specified,Missing,0,,False,True,False,False,False,False,False
5683837241,cf558370852ed494e81f68a2ddb30443392ce488,1,False,Standard,data scientist,India,Mid,Not specified,Missing,0,,False,True,False,False,False,False,False
5694091986,57889e53879fa65f88b62cca2c87b66ced683588,1,False,Standard,data scientist,India,Mid,PhD,3-5 years,1,3.0,False,False,True,True,False,False,False
5710339532,8f1be832017eae5fa7f2731df690b58b33a0a9d8,1,False,Standard,data scientist,India,Mid,Not specified,11+ years,3,18.0,False,False,True,True,False,True,True
5707162037,9d0db3508da5acd3e38ccfa9abf3e735a042655a,1,False,Standard,data scientist,India,Mid,Not specified,Missing,3,,False,True,True,True,True,True,False
5687248123,c4832cc9a74f724975c6af3401d07bcf0cbf3408,1,False,Standard,data scientist,India,Mid,Not specified,6-10 years,0,10.0,False,False,False,False,False,False,False
5683836437,a10f7d0fa5d924efcaea14bbe0e67e5ef3c3a12b,1,False,Standard,data scientist,India,Mid,Master,6-10 years,0,6.0,False,False,False,False,False,False,False
5699974316,9a6c46c53d6babf7fb2cb631912ed5e03b2a1c33,1,False,Standard,data scientist,India,Mid,Not specified,6-10 years,1,6.0,False,False,True,False,False,False,False
5707162149,a434f4c15def2c96d66cb6279cec5fe33b109e3c,1,False,Standard,data scientist,India,Mid,Not specified,3-5 years,1,5.0,False,False,True,False,False,False,False
5699980499,778f0cc22372b300e9ee90efbbf0c54b0a73d1da,1,False,Standard,data scientist,India,Mid,Not specified,6-10 years,0,8.0,False,False,False,False,False,False,False
5699982160,e1548f4e6a4c42ad7742d84a095abac9b5e4f29b,1,False,Standard,data scientist,India,Mid,Not specified,Missing,3,,False,True,True,True,False,False,True
5688078796,a6f21132e4a5d6ea5cc5b93a33db195643b51535,1,False,Standard,data scientist,India,Mid,Not specified,Missing,0,,False,True,False,False,False,False,False
